"GEO_ID","NAME","B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born",
"1600000US2575050","Westborough CDP, Massachusetts","60168","4598","53654","6251","67784","23339","-","**","99844","21950",
"1600000US2575365","West Brookfield CDP, Massachusetts","33519","3809","32338","3759","-","**","-","**","21563","13809",
"1600000US2575505","West Chatham CDP, Massachusetts","50750","50367","-","**","49219","40098","-","**","103182","96210",
"1600000US2575680","West Concord CDP, Massachusetts","84976","26451","69440","16761","106442","32580","20729","20351","134615","78441",
"1600000US2575820","West Dennis CDP, Massachusetts","41885","6980","44826","6715","30667","11250","-","**","40558","8284",
"1600000US2575960","West Falmouth CDP, Massachusetts","60198","10529","56563","22329","67313","19925","-","**","-","**",
"1600000US2576030","Westfield city, Massachusetts","42582","1789","43427","2279","46625","10648","37925","21019","32544","9053",
"1600000US2577890","West Springfield Town city, Massachusetts","39579","3490","42240","3277","44936","9573","-","**","35522","4006",
"1600000US2578410","West Wareham CDP, Massachusetts","26650","4074","27269","3331","-","**","-","**","40938","28249",
"1600000US2578445","West Warren CDP, Massachusetts","46859","27058","45449","12581","-","**","-","**","-","**",
"1600000US2578795","West Yarmouth CDP, Massachusetts","41745","5617","35190","12567","43583","17906","-","**","56286","14809",
"1600000US2578850","Weweantic CDP, Massachusetts","44250","25949","43452","28077","60147","42797","-","**","-","**",
"1600000US2578972","Weymouth Town city, Massachusetts","54975","2627","52765","2633","65664","8268","68674","24699","52697","7382",
"1600000US2579390","White Island Shores CDP, Massachusetts","46641","14785","47500","14344","-","**","-","**","-","**",
"1600000US2579495","Whitinsville CDP, Massachusetts","47861","5512","49167","4685","41738","11545","107540","67832","-","**",
"1600000US2579705","Wilbraham CDP, Massachusetts","40950","12893","36577","11616","50121","32683","64087","6052","16250","5233",
"1600000US2579950","Williamstown CDP, Massachusetts","16732","5729","24549","8379","12575","5359","-","**","-","**",
"1600000US2580195","Wilmington CDP, Massachusetts","63106","4031","56824","6090","94063","6544","56143","1420","81801","36741",
"1600000US2580370","Winchendon CDP, Massachusetts","32481","5933","32672","7152","34286","29401","-","**","-","**",
"1600000US2580545","Winchester CDP, Massachusetts","95897","9121","62301","11295","131090","13142","-","**","118237","16618",
"1600000US2581005","Winthrop Town city, Massachusetts","59686","5769","60517","8238","71094","16296","80714","49798","50539","2297",
"1600000US2581035","Woburn city, Massachusetts","54701","2520","53222","2213","80438","13251","70151","29232","46814","5702",
"1600000US2581245","Woods Hole CDP, Massachusetts","50857","19170","-","**","62708","10932","-","**","50786","42692",
"1600000US2582000","Worcester city, Massachusetts","36198","1025","40205","1696","32431","3331","17172","3435","37290","1703",
"1600000US2582595","Yarmouth Port CDP, Massachusetts","58821","4542","58547","4963","58250","7741","-","**","97527","81745",
